Timestamp,"Ich bestätige, dass ich die obigen Informationen gelesen und verstanden habe und der Teilnahme an dieser anonymen Umfrage zustimme.  ",Frage 1. Welche der folgenden Aussagen beschreibt Sie am besten? (Mehrfachauswahl möglich),Frage 2. Familienstand ,Frage 3. In welcher Stadt oder Region wohnen Sie derzeit?,Frage 4: Woher kommen Sie?,"Frage 5: Wie oft nutzen Sie Online-Wohnungsplattformen wie ImmobilienScout24, WG-Gesucht oder andere, wenn Sie in Deutschland eine Wohnung suchen? ",Frage 6: Welche Plattformen haben Sie am häufigsten genutzt? (Mehrfachauswahl möglich),"Frage 7: Wie nützlich finden Sie diese Plattformen, um passende Wohnungen zu finden?",Frage 8: Welche Probleme haben Sie bei der Nutzung dieser Plattformen erlebt? (Mehrfachauswahl möglich),"Frage 9: Wie lange dauert es im Durchschnitt, bis Sie über diese Plattformen eine passende Wohnung finden?","Frage 10: Wenn Sie nach Wohnungen suchen, wie viele Besichtigungen machen Sie in der Regel, bevor Sie sich für eine Wohnung entscheiden?","Frage 11: Wenn Ihnen ein neuer Service angeboten würde, der Ihnen bei der Suche nach Wohnungsangeboten hilft, wie interessiert wären Sie daran?","Frage 12: Welche Änderungen/neuen Funktionen würden Sie dazu bewegen, einen Service für die Wohnungssuche/Besichtigung eher zu nutzen?",Frage 13: In welchen Situationen würden Sie den Agentbesichtigungsdienst in Anspruch nehmen? (Mehrfachauswahl möglich) ,"Frage 14: Welche der folgenden Überprüfungsmaßnahmen würden Ihnen mehr Vertrauen in die Person geben, die in Ihrem Namen eine Wohnung besichtigt? (Mehrfachauswahl möglich)",Frage 15. Haben Sie weitere Anmerkungen/Feedback?
8/20/2025 18:51:04,Ja,Berufstätig,Single,Illertissen ,Deutschland ,Oft,"ImmobilienScout24, eBay Kleinanzeigen",Sehr nützlich,"Falsche oder irreführende Inserate, Begrenzte Verfügbarkeit in meiner Wunschregion, Technische Probleme mit der Plattform",Suche erst gerade,Hatte erst eine Besichtigung ,Sehr interessiert,8,"Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM).",Es gibt zu wenig Single Wohnungen und dazu noch bezahlbar sind 
8/20/2025 19:28:14,Ja,Berufstätig,Single,Berlin,Deutschland ,Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Mäßig nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren",3–6 Monate,"So viele, bis die erste Zusage kommt. Bei diesem Wohnungsmarkt kann ich nicht aus mehreren Angeboten wählen.",Sehr interessiert,"1, 5, 6",Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/20/2025 19:38:51,Ja,Berufstätig,Paar,Remscheid ,Wuppertal ,Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen, Immonet",Extrem nützlich,Hohe Konkurrenz um Inserate,Mehr als 6 Monate,8 - 15,Überhaupt nicht interessiert,10,Ich lebe in einer anderen Stadt / einem anderen Land,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/20/2025 19:58:44,Ja,Expat,Single,Kichbeg Hunsrück,Texas USA,Oft,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Mäßig nützlich,"Falsche oder irreführende Inserate, Begrenzte Verfügbarkeit in meiner Wunschregion",noch keins Gefunden.,1 - 3,Mäßig interessiert,"1, Alle oben genannten Punkte","Ich möchte Betrug oder irreführende Inserate vermeiden, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/20/2025 21:03:58,Ja,Student,Paar,Lüneburg,Deutschland,Oft,"ImmobilienScout24, eBay Kleinanzeigen",Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",3–6 Monate,8 - 15,Mäßig interessiert,"4, 7","Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM).",
8/20/2025 22:29:52,Ja,"Berufstätig, Unterehmer/in",Familie mit Kindern,Bergneustadt ,Deutschland ,Oft,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Extrem nützlich,Falsche oder irreführende Inserate,Weniger als 1 Monat,1 - 3,Sehr interessiert,Alle oben genannten Punkte,"Ich habe einen vollen Arbeitsplan, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/20/2025 22:35:38,Ja,"Berufstätig, Student",Familie mit Kindern,Rhein-Neckar-Kreis ,Deutschland ,Oft,ImmobilienScout24,Mäßig nützlich,Hohe Konkurrenz um Inserate,Mehr als 6 Monate,1 - 3,Mäßig interessiert,"1, 2, 3, 4, 5, 6, 7","Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich würde diesen Service nicht in Anspruch nehmen wollen.","Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/21/2025 14:17:39,Ja,Berufstätig,Paar,Köln,Deutschland ,Oft,ImmobilienScout24,Sehr nützlich,Keine,3–6 Monate,4 - 7,Überhaupt nicht interessiert,Keine,Keine,Keine,
8/21/2025 14:20:49,Ja,Berufstätig,Single,Münster ,Deutschland ,Immer,"ImmobilienScout24, WG-Gesucht, eBay Kleinanzeigen",Mäßig nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate",Weniger als 1 Monat,4 - 7,Überhaupt nicht interessiert,kein Bedarf,"Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/21/2025 14:21:58,Ja,Student,Paar,Aachen,Deutschland ,Immer,"ImmobilienScout24, eBay Kleinanzeigen",Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",3–6 Monate,16+,Mäßig interessiert,"1, 3, 4, 6, 7","Ich lebe in einer anderen Stadt / einem anderen Land, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.",Haftbarkeit/ Absicherung bei Mängeln,"Die Ergebnisse mehrerer Seiten zusammenzufassen wird aufgrund von Scraping Richtlinien nicht möglich sein. Einen externen Dienst zu nutzen, also einen Makler ""Agenten"" werden sich die wenigsten leisten können. "
8/21/2025 14:25:10,Ja,Berufstätig,Single,Düsseldorf ,Deutschland ,Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren, Begrenzte Verfügbarkeit in meiner Wunschregion",Weniger als 1 Monat,1 - 3,Sehr interessiert,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Alle oben genannten Punkte","Ich lebe in einer anderen Stadt / einem anderen Land, Ich habe einen vollen Arbeitsplan","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/21/2025 14:31:31,Ja,Berufstätig,Paar,Köln,Deutschland,Immer,ImmobilienScout24,Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren, Begrenzte Verfügbarkeit in meiner Wunschregion",1 Jahr,16+,Sehr interessiert,"Hohes Angebot an Wohnungen, der Rest ist egal",Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/21/2025 14:34:37,Ja,Berufstätig,Paar,Köln,Deutschland,Immer,ImmobilienScout24,Mäßig nützlich,"Hohe Konkurrenz um Inserate, Begrenzte Verfügbarkeit in meiner Wunschregion",Mehr als 6 Monate,1 - 3,Mäßig interessiert,1,Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/21/2025 14:38:59,Ja,Berufstätig,Paar,Aachen,Polen,Immer,"ImmobilienScout24, Immowelt",Extrem nützlich,Hohe Konkurrenz um Inserate,1–3 Monate,1 - 3,Mäßig interessiert,"3, 4, 5, 8","Ich lebe in einer anderen Stadt / einem anderen Land, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/21/2025 14:56:02,Ja,Berufstätig,Single,Köln,Deutschland ,Manchmal,"ImmobilienScout24, Immowelt",Mäßig nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren, Begrenzte Verfügbarkeit in meiner Wunschregion",Mehr als 6 Monate,1 - 3,Mäßig interessiert,"4, 5, 7, 10","Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/21/2025 14:56:12,Ja,Berufstätig,Paar,Wuppertal,Deutschland,Selten,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Extrem nützlich,keine,Weniger als 1 Monat,8 - 15,Mäßig interessiert,"4, 5, 6",Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/21/2025 15:07:50,Ja,Berufstätig,Paar,Wuppertal,Deutschland,Immer,ImmobilienScout24,Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",1–3 Monate,8 - 15,Sehr interessiert,1,"Ich habe einen vollen Arbeitsplan, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/21/2025 15:23:33,Ja,Unterehmer/in,Familie mit Kindern,pipipoopoo,Mars,Oft,"ImmobilienScout24, WG-Gesucht, Immowelt, eBay Kleinanzeigen, deine Mutter",Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren, Begrenzte Verfügbarkeit in meiner Wunschregion, Technische Probleme mit der Plattform, Neger",minus 10 Jahren,2x10^6,Überhaupt nicht interessiert,"Alle oben genannten Punkte, blablabla",mimimi,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten)., Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",verpiss dich
8/21/2025 15:25:48,Ja,Berufstätig,Single,Aachen,Deutschland ,Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",Weniger als 1 Monat,1 - 3,Mäßig interessiert,"3, 4, 5, 6, 10","Ich lebe in einer anderen Stadt / einem anderen Land, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM).",
8/21/2025 15:28:05,Ja,Student,Single,Aachen,Deutschland ,Immer,ImmobilienScout24,Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",1–3 Monate,1 - 3,Mäßig interessiert,"1, 2, 4, 5, 6, 7, 8","Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/21/2025 15:37:56,Ja,Berufstätig,Paar,Wuppertal,Deutschland ,Immer,"ImmobilienScout24, eBay Kleinanzeigen",Extrem nützlich,Begrenzte Verfügbarkeit in meiner Wunschregion,1–3 Monate,1 - 3,Mäßig interessiert,"1, 2, 3, 4, 5, 6, 7, 8",Ich lebe in einer anderen Stadt / einem anderen Land,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/21/2025 15:54:06,Ja,Student,Paar,Münster,Deutschland,Immer,"ImmobilienScout24, eBay Kleinanzeigen",Mäßig nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren",3–6 Monate,4 - 7,Mäßig interessiert,"1, 2, 3, 4, 5, 6, 7, 8","Ich lebe in einer anderen Stadt / einem anderen Land, Ich habe einen vollen Arbeitsplan, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/21/2025 16:01:33,Ja,Berufstätig,Familie mit Kindern,Wuppertal ,D,Selten,ImmobilienScout24,Sehr nützlich,"Begrenzte Verfügbarkeit in meiner Wunschregion, Technische Probleme mit der Plattform",Weiß nicht ,4 - 7,Mäßig interessiert,6,"Ich lebe in einer anderen Stadt / einem anderen Land, Ich habe einen vollen Arbeitsplan, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung","Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM).",
